compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction,memory_usage,decompress_time
huffman,146310656,145760954,1.0,14.3116,0.38,1138996.0,39.2538
zlib,146310656,145448090,1.01,3.8312,0.59,142072.0,0.2863
lzma,146310656,145161528,1.01,39.9365,0.79,141820.0,2.0875
bz2,146310656,145185096,1.01,10.6289,0.77,141828.0,5.4099
gzip,146310656,145448099,1.01,3.8785,0.59,142056.0,0.319
huffman,146310656,145760954,1.0,13.8092,0.38,1138792.0,39.2205
zlib,146310656,145448090,1.01,3.8284,0.59,142040.0,0.287
lzma,146310656,145161528,1.01,38.8643,0.79,141812.0,2.088
bz2,146310656,145185096,1.01,10.7926,0.77,141784.0,5.417
gzip,146310656,145448099,1.01,3.8773,0.59,142040.0,0.3228
huffman,146310656,145760954,1.0,13.884,0.38,1138760.0,39.2044
zlib,146310656,145448090,1.01,3.8133,0.59,142040.0,0.2879
lzma,146310656,145161528,1.01,39.0598,0.79,141760.0,2.0909
bz2,146310656,145185096,1.01,10.786,0.77,141784.0,5.5045
gzip,146310656,145448099,1.01,3.9526,0.59,142040.0,0.3265
huffman,146310656,145760954,1.0,14.1089,0.38,1138760.0,40.0224
zlib,146310656,145448090,1.01,3.9225,0.59,142040.0,0.2955
lzma,146310656,145161528,1.01,39.7142,0.79,141744.0,2.112
bz2,146310656,145185096,1.01,10.8307,0.77,141784.0,5.4663
gzip,146310656,145448099,1.01,3.9897,0.59,142040.0,0.3269
huffman,146310656,145760954,1.0,14.3112,0.38,1138760.0,40.1196
zlib,146310656,145448090,1.01,3.8504,0.59,142040.0,0.3029
lzma,146310656,145161528,1.01,40.9357,0.79,141760.0,2.1422
bz2,146310656,145185096,1.01,10.7861,0.77,141784.0,5.3983
gzip,146310656,145448099,1.01,3.8506,0.59,142040.0,0.3189
