compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction,memory_usage,decompress_time
huffman,140701352,43328872,3.25,15.502,69.21,339576.0,14.6944
zlib,140701352,36554048,3.85,16.8616,74.02,35676.0,0.2593
lzma,140701352,29637088,4.75,81.0351,78.94,29004.0,0.9936
bz2,140701352,33584884,4.19,7.6574,76.13,32844.0,3.1134
gzip,140701352,35036722,4.02,76.9841,75.1,34232.0,0.2686
huffman,140701352,43328872,3.25,15.0663,69.21,338652.0,14.6986
zlib,140701352,36554048,3.85,16.8501,74.02,35752.0,0.2611
lzma,140701352,29637088,4.75,81.6347,78.94,28944.0,1.0248
bz2,140701352,33584884,4.19,7.7106,76.13,32800.0,3.1552
gzip,140701352,35036722,4.02,75.8739,75.1,34180.0,0.2729
huffman,140701352,43328872,3.25,14.7971,69.21,337460.0,14.4507
zlib,140701352,36554048,3.85,16.8375,74.02,35700.0,0.2652
lzma,140701352,29637088,4.75,79.4649,78.94,28960.0,1.0023
bz2,140701352,33584884,4.19,7.61,76.13,32800.0,3.0614
gzip,140701352,35036722,4.02,75.6096,75.1,34200.0,0.2661
huffman,140701352,43328872,3.25,14.7579,69.21,338508.0,14.4428
zlib,140701352,36554048,3.85,16.5167,74.02,35700.0,0.2556
lzma,140701352,29637088,4.75,81.0129,78.94,28944.0,0.9866
bz2,140701352,33584884,4.19,7.677,76.13,32800.0,3.1051
gzip,140701352,35036722,4.02,76.9323,75.1,34216.0,0.2638
huffman,140701352,43328872,3.25,14.8873,69.21,338508.0,14.2312
zlib,140701352,36554048,3.85,16.4844,74.02,35700.0,0.2618
lzma,140701352,29637088,4.75,78.1381,78.94,28944.0,0.9697
bz2,140701352,33584884,4.19,7.5058,76.13,32800.0,3.0465
gzip,140701352,35036722,4.02,75.4943,75.1,34216.0,0.273
