compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction,memory_usage,decompress_time
huffman,115584352,102997953,1.12,11.3483,10.89,805932,28.4788
zlib,115584352,99041710,1.17,3.8198,14.31,96756,0.3836
lzma,115584352,67145980,1.72,32.2572,41.91,65656,3.4449
bz2,115584352,78334420,1.48,6.9534,32.23,76544,3.676
gzip,115584352,99041710,1.17,4.0229,14.31,96720,0.4225
huffman,115584352,102997953,1.12,11.7377,10.89,804700,27.3379
zlib,115584352,99041710,1.17,3.7607,14.31,96724,0.3824
lzma,115584352,67145980,1.72,32.6263,41.91,65576,3.483
bz2,115584352,78334420,1.48,7.0108,32.23,76500,3.6324
gzip,115584352,99041710,1.17,3.9305,14.31,96724,0.416
huffman,115584352,102997953,1.12,11.5221,10.89,804672,27.5238
zlib,115584352,99041710,1.17,3.795,14.31,96724,0.383
lzma,115584352,67145980,1.72,32.4032,41.91,65576,3.3717
bz2,115584352,78334420,1.48,6.8565,32.23,76468,3.55
gzip,115584352,99041710,1.17,3.8363,14.31,96724,0.4159
huffman,115584352,102997953,1.12,11.5532,10.89,804672,29.1639
zlib,115584352,99041710,1.17,3.8489,14.31,96724,0.385
lzma,115584352,67145980,1.72,35.5261,41.91,65576,3.6685
bz2,115584352,78334420,1.48,7.0517,32.23,76500,3.7284
gzip,115584352,99041710,1.17,3.9317,14.31,96724,0.4226
huffman,115584352,102997953,1.12,11.5924,10.89,804672,27.4305
zlib,115584352,99041710,1.17,3.7293,14.31,96724,0.3849
lzma,115584352,67145980,1.72,31.6556,41.91,65560,3.3639
bz2,115584352,78334420,1.48,6.7775,32.23,76500,3.5732
gzip,115584352,99041710,1.17,3.8038,14.31,96724,0.4065
