compressor_name,original_size,compressed_size,compression_ratio,compress_time,percentage_reduction
HUFFMAN,152089,87688,1.73,0.0148,42.34
zlib,152089,54404,2.8,0.0071,64.23
lzma,152089,48492,3.14,0.0303,68.12
bz2,152089,43202,3.52,0.0086,71.59
HUFFMAN,152089,87688,1.73,0.0149,42.34
zlib,152089,54404,2.8,0.0069,64.23
lzma,152089,48492,3.14,0.0295,68.12
bz2,152089,43202,3.52,0.0078,71.59
HUFFMAN,152089,87688,1.73,0.0154,42.34
zlib,152089,54404,2.8,0.0069,64.23
lzma,152089,48492,3.14,0.0284,68.12
bz2,152089,43202,3.52,0.008,71.59
HUFFMAN,152089,87688,1.73,0.0148,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0287,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0152,42.34
zlib,152089,54404,2.8,0.007,64.23
lzma,152089,48492,3.14,0.0292,68.12
bz2,152089,43202,3.52,0.0085,71.59
HUFFMAN,152089,87688,1.73,0.0148,42.34
zlib,152089,54404,2.8,0.0067,64.23
lzma,152089,48492,3.14,0.0292,68.12
bz2,152089,43202,3.52,0.0081,71.59
HUFFMAN,152089,87688,1.73,0.015,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.029,68.12
bz2,152089,43202,3.52,0.008,71.59
HUFFMAN,152089,87688,1.73,0.0207,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0304,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0151,42.34
zlib,152089,54404,2.8,0.0069,64.23
lzma,152089,48492,3.14,0.0314,68.12
bz2,152089,43202,3.52,0.0086,71.59
HUFFMAN,152089,87688,1.73,0.0148,42.34
zlib,152089,54404,2.8,0.0067,64.23
lzma,152089,48492,3.14,0.0293,68.12
bz2,152089,43202,3.52,0.0077,71.59
HUFFMAN,152089,87688,1.73,0.0153,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0286,68.12
bz2,152089,43202,3.52,0.0081,71.59
HUFFMAN,152089,87688,1.73,0.0145,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0287,68.12
bz2,152089,43202,3.52,0.0083,71.59
HUFFMAN,152089,87688,1.73,0.0154,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0292,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0145,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0297,68.12
bz2,152089,43202,3.52,0.0082,71.59
HUFFMAN,152089,87688,1.73,0.0154,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0283,68.12
bz2,152089,43202,3.52,0.008,71.59
HUFFMAN,152089,87688,1.73,0.0147,42.34
zlib,152089,54404,2.8,0.0068,64.23
lzma,152089,48492,3.14,0.0285,68.12
bz2,152089,43202,3.52,0.0078,71.59
HUFFMAN,152089,87688,1.73,0.0147,42.34
zlib,152089,54404,2.8,0.0068,64.23
lzma,152089,48492,3.14,0.0292,68.12
bz2,152089,43202,3.52,0.008,71.59
HUFFMAN,152089,87688,1.73,0.0152,42.34
zlib,152089,54404,2.8,0.0067,64.23
lzma,152089,48492,3.14,0.0289,68.12
bz2,152089,43202,3.52,0.0084,71.59
HUFFMAN,152089,87688,1.73,0.0152,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0283,68.12
bz2,152089,43202,3.52,0.0078,71.59
HUFFMAN,152089,87688,1.73,0.0143,42.34
zlib,152089,54404,2.8,0.0068,64.23
lzma,152089,48492,3.14,0.0285,68.12
bz2,152089,43202,3.52,0.0077,71.59
HUFFMAN,152089,87688,1.73,0.0149,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0289,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0145,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0291,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0147,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0288,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.015,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.0288,68.12
bz2,152089,43202,3.52,0.0081,71.59
HUFFMAN,152089,87688,1.73,0.0151,42.34
zlib,152089,54404,2.8,0.0065,64.23
lzma,152089,48492,3.14,0.028,68.12
bz2,152089,43202,3.52,0.0078,71.59
HUFFMAN,152089,87688,1.73,0.0148,42.34
zlib,152089,54404,2.8,0.0067,64.23
lzma,152089,48492,3.14,0.0289,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.016,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0304,68.12
bz2,152089,43202,3.52,0.0082,71.59
HUFFMAN,152089,87688,1.73,0.0147,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0295,68.12
bz2,152089,43202,3.52,0.0083,71.59
HUFFMAN,152089,87688,1.73,0.0151,42.34
zlib,152089,54404,2.8,0.0067,64.23
lzma,152089,48492,3.14,0.033,68.12
bz2,152089,43202,3.52,0.0081,71.59
HUFFMAN,152089,87688,1.73,0.0144,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0289,68.12
bz2,152089,43202,3.52,0.0079,71.59
HUFFMAN,152089,87688,1.73,0.0161,42.34
zlib,152089,54404,2.8,0.0066,64.23
lzma,152089,48492,3.14,0.0282,68.12
bz2,152089,43202,3.52,0.0078,71.59
HUFFMAN,152089,87688,1.73,0.0146,42.34
zlib,152089,54404,2.8,0.0069,64.23
lzma,152089,48492,3.14,0.0279,68.12
bz2,152089,43202,3.52,0.0083,71.59
